original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Adenanthos dobsonii,Adenanthos dobsonii,Adenanthos dobsonii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos ellipticus,Adenanthos ellipticus,Adenanthos ellipticus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos ellipticus x Adenanthos cuneatus,Adenanthos ellipticus x Adenanthos cuneatus,Adenanthos x [Adenanthos ellipticus x Adenanthos cuneatus; Barrett_2009],APC,genus,Exact match to APC genus. Taxon name includes ' x ' indicating a hybrid taxon and taxon can only be aligned to genus-rank (2023-09-08),match_11a_hybrid_taxon_exact
Adenanthos eyri,Adenanthos eyri,Adenanthos eyrei,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Adenanthos filifolius,Adenanthos filifolius,Adenanthos filifolius,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos forrestii,Adenanthos forrestii,Adenanthos forrestii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos gracilipes,Adenanthos gracilipes,Adenanthos gracilipes,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos ileticos,Adenanthos ileticos,Adenanthos ileticos,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos labillardierei,Adenanthos labillardierei,Adenanthos labillardierei,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos labilliardierei,Adenanthos labilliardierei,Adenanthos labillardierei,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Adenanthos linearis,Adenanthos linearis,Adenanthos linearis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos obovatus,Adenanthos obovatus,Adenanthos obovatus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos oreophilus,Adenanthos oreophilus,Adenanthos oreophilus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos pungens,Adenanthos pungens,Adenanthos pungens,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos pungens ssp. effusus,Adenanthos pungens subsp. effusus,Adenanthos pungens subsp. effusus,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos pungens ssp. pungens,Adenanthos pungens subsp. pungens,Adenanthos pungens subsp. pungens,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos sericeous,Adenanthos sericeous,Adenanthos sericeus,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_07a_fuzzy_accepted_canonical_name
Adenanthos velutinus,Adenanthos velutinus,Adenanthos velutinus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos venosus,Adenanthos venosus,Adenanthos venosus,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Adenanthos x  cunninghamii,Adenanthos x cunninghamii,Adenanthos x cunninghamii,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Agonis baxteri,Agonis baxteri,Agonis baxteri,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Agonis baxteri (obtusissima),Agonis baxteri (obtusissima),Agonis baxteri,APC,species,Exact match of the first two words of the taxon name to an APC-accepted canonical name (2023-09-08),match_14a_binomial_exact_accepted
Agonis flexuosa,Agonis flexuosa,Agonis flexuosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Agonis flexuosa,Agonis flexuosa,Agonis flexuosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Agonis flexuosa,Agonis flexuosa,Agonis flexuosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Agonis flexuosa,Agonis flexuosa,Agonis flexuosa,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Agonis undulata,Agonis undulata,Agonis undulata,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Agrostocrinum scabrum ssp. littorale,Agrostocrinum scabrum subsp. littorale,Agrostocrinum scabrum subsp. littorale,APC,subspecies,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Alexgeorgea ganopoda,Alexgeorgea ganopoda,Alexgeorgea ganopoda,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Allocasuarina acuaria,Allocasuarina acuaria,Allocasuarina acuaria,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
Allocasuarina acutivalvis,Allocasuarina acutivalvis,Allocasuarina acutivalvis,APC,species,Exact match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2023-09-08),match_06a_accepted_canonical_name
